Name,Suma fra. Jofisa,Bruto,Fino,Cierres,Margen,Margen solo cerrado,Precio oro no cerrado,Fino Real,Margen total expedición,p. med Chatarra,p. med Ling Chatarra,Bruto Ling Chat,Fra Ling Chat,Bruto Chat,Fra Chat,Bruto Ling Fino,Fra Ling Fino,envio actual
E39,€172583.13,3916.02,2971.02,,-€22647.91,-€22647.91,,,-€22647.91,37.23,50.75,412.7,€20946.46,2175.0,€80971.51,250.0,€17095.79,
E40,€291459.16,5393.22,4145.95,,€15422.16,€15029.89,€70.00,,-€274794.26,53.86,50.30,2299.6,€115666.99,2518.7,€135642.44,575.0,€40149.73,
E41,€234746.36,4386.51,3244.99,,€14571.58,€14571.58,€71.00,,-€215822.85,52.75,53.34,2398.1,€127918.82,1892.4,€99816.66,0.0,€0.00,
E42,€295235.90,5100.24,3796.89,,€17540.90,€17540.90,€80.00,,-€286209.97,59.24,56.34,2677.9,€150872.89,2380.5,€141024.75,0.0,€0.00,
E43,€368321.59,5693.55,4527.50,,€20303.16,€20303.16,€80.00,,-€341896.72,58.35,60.50,3270.6,€197885.39,1124.4,€65608.76,1298.6,€104827.43,
E44,€301539.36,5002.52,3595.48,,€17724.92,€17724.92,,,€17724.92,58.22,60.86,2916.8,€177511.48,1985.7,€115604.88,100.0,€8423.00,
E45,€335042.99,5154.40,3759.81,,€17947.58,€17947.58,€88.00,,-€312916.06,65.36,64.51,2168.2,€139878.09,2986.2,€195164.91,0.0,€0.00,
E46,€472337.34,7063.09,5041.34,,€26814.06,€26814.06,€93.00,,-€442030.32,67.27,66.43,3325.5,€220919.95,3737.6,€251417.39,0.0,€0.00,
E47,€598279.24,8932.77,6525.66,,€32135.72,€32135.72,€92.00,,-€568225.19,65.15,67.66,6497.5,€439628.70,2435.2,€158650.54,0.0,€0.00,
E48,€624398.39,8945.45,6787.07,,€30022.92,€30022.92,€92.00,,-€594387.88,68.31,70.15,7230.9,€507266.94,1714.6,€117131.45,0.0,€0.00,
E49,€600401.45,7908.67,6017.50,,€32345.33,€32345.33,€104.00,,-€593474.94,72.37,72.54,4211.8,€305532.41,2696.8,€195159.04,1000.0,€99710.00,
E50,€808500.71,8916.81,7187.96,,€48786.81,€41994.31,€110.00,,-€741888.45,86.31,NaN,0.0,€0.00,2529.2,€218298.30,0.0,€0.00,
E51,€621349.56,7275.12,5501.67,,€34111.54,€30903.90,€112.00,,-€582075.10,NaN,NaN,0.0,€0.00,0.0,€0.00,999.9,€111491.80,checked
,€0.00,0.00,0.00,,€0.00,€0.00,,,€0.00,NaN,NaN,0.0,€0.00,0.0,€0.00,0.0,€0.00,
