,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,pagado,DEVOLUCIÓN,FILTER,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,MGN
NJ,23/feb/23,100,"59,18",5918,2023-19,3/03/2023,100,0,,Finalizado,TRUE,FALSE,TRUE,"1736,318868","55,83","59,18","56,08",5608,
NJ,23/feb/23,100,"61,54",6154,2023-28,19/04/2023,100,0,,Finalizado,TRUE,FALSE,TRUE,"1805,560377","58,06","61,55","58,31",5831,
NJ,23/feb/23,100,"62,02",6202,2023-29,20/04/2023,100,0,,Finalizado,TRUE,FALSE,TRUE,"1819,643396","58,51","62,03","58,76",5876,
NJ,23/feb/23,100,"62,32",6232,2023-35,25/05/2023,100,0,,Finalizado,TRUE,FALSE,TRUE,"1828,445283","58,79","62,32","59,04",5904,
NJ,23/feb/23,100,"61,97",6197,2023-37,5/06/2023,100,0,,Finalizado,TRUE,FALSE,TRUE,"1818,176415","58,46","61,97","58,71",5871,
NJ,23/feb/23,100,"62,23",6223,2023-38,9/06/2023,100,0,,Finalizado,TRUE,FALSE,TRUE,"1825,804717","58,71","62,24","58,96",5896,
NJ,23/feb/23,50,"58,72",2936,2023-16,24/02/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1722,822642","55,4","58,73","55,65","2782,5",
NJ,23/feb/23,50,"58,72",2936,2023-16,24/02/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1722,822642","55,4","58,73","55,65","2782,5",
NJ,23/feb/23,50,"58,73","2936,5",2023-17,24/02/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1723,116038","55,4","58,73","55,65","2782,5",
NJ,23/feb/23,50,"62,75","3137,5",2023-25,13/04/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1841,061321","59,2","62,76","59,45","2972,5",
NJ,23/feb/23,50,"62,46",3123,2023-27,17/04/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1832,55283","58,92","62,46","59,17","2958,5",
NJ,23/feb/23,50,"61,25","3062,5",2023-30,25/04/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1797,051887","57,78","61,25","58,03","2901,5",
NJ,23/feb/23,50,"62,68",3134,2023-33,9/05/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1839,007547","59,13","62,68","59,38",2969,
NJ,23/feb/23,50,"60,43","3021,5",2023-41,21/06/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1772,993396","57,01","60,44","57,26",2863,
NJ,23/feb/23,50,"60,43","3021,5",2023-41,21/06/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1772,993396","57,01","60,44","57,26",2863,
NJ,23/feb/23,50,"59,87","2993,5",2023-43,30/06/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1756,563208","56,48","59,87","56,73","2836,5",
NJ,23/feb/23,50,"60,12",3006,2023-44,3/07/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1763,898113","56,72","60,13","56,97","2848,5",
NJ,23/feb/23,50,"60,19","3009,5",2023-45,5/07/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1765,951887","56,78","60,19","57,03","2851,5",
NJ,23/feb/23,50,"59,26",2963,2023-49,17/08/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1738,666038","55,9","59,26","56,15","2807,5",
NJ,6/jul/23,50,"61,52",3076,2023/69,20/11/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1804,973585","58,04","61,53","58,29","2914,5",
NJ,6/jul/23,50,"61,52",3076,2023/69,20/11/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1804,973585","58,04","61,53","58,29","2914,5",
NJ,6/jul/23,50,"61,52",3076,2023/69,20/11/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1804,973585","58,04","61,53","58,29","2914,5",
NJ,6/jul/23,50,"61,52",3076,2023/69,20/11/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1804,973585","58,04","61,53","58,29","2914,5",
NJ,6/jul/23,50,"61,52",3076,2023/69,20/11/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1804,973585","58,04","61,53","58,29","2914,5",
NJ,stock,100,"63,39",6339,2024-01.pdf,8/01/2024,100,0,stock,Finalizado,TRUE,FALSE,TRUE,"1859,838679","59,8","63,39","60,05",6005,334
NJ,stock,100,"63,39",6339,2023-79.pdf,15/12/2023,100,0,stock,Finalizado,TRUE,FALSE,TRUE,"1859,838679","59,8","63,39","60,05",6005,334
NJ,stock,100,"64,01",6401,2024-19.pdf,26/02/2024,100,0,stock,Finalizado,TRUE,FALSE,TRUE,"1878,029245","60,39","64,02","60,64",6064,337
NJ,stock,100,"64,01",6401,2024-20.pdf,26/02/2024,100,0,stock,Finalizado,TRUE,FALSE,TRUE,"1878,029245","60,39","64,02","60,64",6064,337
NJ,stock,100,"67,84",6784,2024-26.pdf ,11/03/2024,100,0,stock,Finalizado,TRUE,FALSE,TRUE,"1990,4",64,"67,84","64,25",6425,359
NJ,stock,100,"75,85",7585,2024-41.pdf,17/04/2024,100,0,stock,Finalizado,TRUE,FALSE,TRUE,"2225,410377","71,55","75,85","71,8",7180,405
NJ,27/nov/23,50,"61,41","3070,5",2023-54,26/09/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1801,746226","57,93","61,41","58,18",2909,"161,5"
NJ,27/nov/23,50,"60,66",3033,2023-55,28/09/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1779,741509","57,22","60,66","57,47","2873,5","159,5"
NJ,27/nov/23,50,"60,14",3007,2023-56,29/09/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1764,484906","56,73","60,14","56,98",2849,158
NJ,27/nov/23,50,"59,35","2967,5",2023-57,2/10/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1741,306604","55,99","59,35","56,24",2812,"155,5"
NJ,12/dic/23,50,"63,34",3167,2024-15.pdf,13/02/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1858,28","59,75","63,34",60,3000,167
NJ,12/dic/23,50,"63,97","3198,5",2024-16.pdf,20/02/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1876,5","60,34","63,97","60,59","3029,5",169
NJ,12/dic/23,50,"63,72",3186,2024-17.pdf,22/02/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1869,4","60,11","63,72","60,36",3018,168
NJ,12/dic/23,50,"63,59","3179,5",2024-18.pdf,23/02/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1865,61","59,99","63,59","60,24",3012,"167,5"
NJ,12/dic/23,50,"63,59","3179,5",2024-18.pdf,23/02/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1882,9","60,54","64,18","60,24",3012,"167,5"
NJ,12/dic/23,50,"63,98",3199,2024-21.pdf,27/02/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1876,88","60,35","63,98","60,6",3030,169
NJ,12/dic/23,50,"63,98",3199,2024-21.pdf,27/02/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1877,65","60,37",64,"60,62",3031,168
NJ,12/dic/23,50,"67,72",3386,2024-27.pdf,13/03/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1986,58","63,88","67,72","64,13","3206,5","179,5"
NJ,28/feb/24,50,"67,72",3386,2024-27.pdf,13/03/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1986,58","63,88","67,72","64,13","3206,5","179,5"
NJ,28/feb/24,50,"67,74",3387,2024-31.pdf,19/03/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"1987,37","63,9","67,74","64,15","3207,5","179,5"
NJ,28/feb/24,50,"73,9",3695,2024-47.pdf,24/04/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,2168,"69,71","73,9","69,96",3498,197
NJ,28/feb/24,50,"74,26",3713,2024-48.pdf,29/04/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"2178,66","70,05","74,26","70,3",3515,198
NJ,28/feb/24,50,"72,99","3649,5",2024-52.pdf,3/05/2024,50,0,11-12,Finalizado,TRUE,FALSE,TRUE,"2141,41","68,85","72,99","69,1",3455,"194,5"
