Linea,Paquete,Peso Bruto _ CL,Ley_CL,kts,Fino,P.V,no cuenta Peso,fino_CL,bruto_peso,fino*pv,Exp,Cliente
E50_1_708,E50_1,262.85,708.00,,186.10,,,186.10,262.85,0,"'
- Una linea de 186.1 grs. de fino: 262.85 grs de bruto x ley  (708/1000)",Gaudia
E50_1_875,E50_1,141.94,875.00,,124.20,,,124.20,141.94,0,"'
- Una linea de 124.2 grs. de fino: 141.94 grs de bruto x ley  (875/1000)",Gaudia
E50_2_1000,E50_2,403.60,1000.00,,403.60,,,403.60,403.60,0,"'
- Una linea de 403.6 grs. de fino: 403.6 grs de bruto x ley  (1000/1000)",Gemma d'Or
E50_3_910,E50_3,161.10,910.00,,146.60,,,146.60,161.10,0,"'
- Una linea de 146.6 grs. de fino: 161.1 grs de bruto x ley  (910/1000)",Gemma d'Or
E50_4_708,E50_4,208.40,708.00,,147.55,,,147.55,208.40,0,"'
- Una linea de 147.55 grs. de fino: 208.4 grs de bruto x ley  (708/1000)",Gaudia
E50_6_780,E50_6,3.36,780.00,,2.62,,,2.62,3.36,0,"'
- Una linea de 2.62 grs. de fino: 3.36 grs de bruto x ley  (780/1000)",La Milla d'Or
E50_6_730,E50_6,338.71,730.00,,247.26,,,247.26,338.71,0,"'
- Una linea de 247.26 grs. de fino: 338.71 grs de bruto x ley  (730/1000)",La Milla d'Or
E50_6_1000,E50_6,-10.00,1000.00,,-10.00,,checked,0.00,0.00,0,"'
- Una linea de -10 grs. de fino: -10 grs de bruto x ley  (1000/1000)",La Milla d'Or
E50_7_720,E50_7,235.90,720.00,,169.85,,,169.85,235.90,0,"'
- Una linea de 169.85 grs. de fino: 235.9 grs de bruto x ley  (720/1000)",Gemma d'Or
E50_8_896,E50_8,26.05,896.00,,23.34,,,23.34,26.05,0,"'
- Una linea de 23.34 grs. de fino: 26.05 grs de bruto x ley  (896/1000)",La Milla d'Or
E50_8_780,E50_8,7.09,780.00,,5.53,,,5.53,7.09,0,"'
- Una linea de 5.53 grs. de fino: 7.09 grs de bruto x ley  (780/1000)",La Milla d'Or
E50_8_730,E50_8,209.41,730.00,,152.87,,,152.87,209.41,0,"'
- Una linea de 152.87 grs. de fino: 209.41 grs de bruto x ley  (730/1000)",La Milla d'Or
E50_5_708,E50_5,617.83,708.00,,437.42,,,437.42,617.83,0,"'
- Una linea de 437.42 grs. de fino: 617.83 grs de bruto x ley  (708/1000)",Gaudia
E50_9_908.33,E50_9,33.96,908.33,,30.85,,,30.85,33.96,0,"'
- Una linea de 30.85 grs. de fino: 33.96 grs de bruto x ley  (908.33/1000)",OrCash
E50_9_916.67,E50_9,34.52,916.67,,31.64,,,31.64,34.52,0,"'
- Una linea de 31.64 grs. de fino: 34.52 grs de bruto x ley  (916.67/1000)",OrCash
E50_9_883.33,E50_9,33.42,883.33,,29.52,,,29.52,33.42,0,"'
- Una linea de 29.52 grs. de fino: 33.42 grs de bruto x ley  (883.33/1000)",OrCash
E50_9_891.67,E50_9,16.67,891.67,,14.86,,,14.86,16.67,0,"'
- Una linea de 14.86 grs. de fino: 16.67 grs de bruto x ley  (891.67/1000)",OrCash
E50_9_862.5,E50_9,8.28,862.50,,7.14,,,7.14,8.28,0,"'
- Una linea de 7.14 grs. de fino: 8.28 grs de bruto x ley  (862.5/1000)",OrCash
