Linea,Paquete,Peso Bruto _ CL,Ley_CL,kts,Fino,P.V,no cuenta Peso,fino_CL,bruto_peso,fino*pv,Exp,Cliente
E33_7_310,E33_7,1.31,310.00,,0.41,,,0.41,1.31,0,"'
- Una linea de 0.41 grs. de fino: 1.31 grs de bruto x ley  (310/1000)",Nova Joia
E31_4_313,E31_4,9.54,313.00,,2.99,,,2.99,9.54,0,"'
- Una linea de 2.99 grs. de fino: 9.54 grs de bruto x ley  (313/1000)",La Milla d'Or
E30_4_355,E30_4,7.32,355.00,,2.60,,,2.60,7.32,0,"'
- Una linea de 2.6 grs. de fino: 7.32 grs de bruto x ley  (355/1000)",La Milla d'Or
E31_13_355,E31_13,1.50,355.00,,0.53,,,0.53,1.50,0,"'
- Una linea de 0.53 grs. de fino: 1.5 grs de bruto x ley  (355/1000)",La Milla d'Or
E32_7_355,E32_7,6.26,355.00,,2.22,,,2.22,6.26,0,"'
- Una linea de 2.22 grs. de fino: 6.26 grs de bruto x ley  (355/1000)",La Milla d'Or
E32_21_355,E32_21,5.44,355.00,,1.93,,,1.93,5.44,0,"'
- Una linea de 1.93 grs. de fino: 5.44 grs de bruto x ley  (355/1000)",La Milla d'Or
E30_12_375,E30_12,10.70,375.00,,4.01,,,4.01,10.70,0,"'
- Una linea de 4.01 grs. de fino: 10.7 grs de bruto x ley  (375/1000)",Gemma d'Or
E30_19_440,E30_19,45.00,440.00,11,19.80,,,19.80,45.00,0,"'
- Una linea de 19.8 grs. de fino: 45 grs de bruto x ley 11 kts (440/1000)",Nova Joia
E31_2_470,E31_2,9.20,470.00,,4.32,,,4.32,9.20,0,"'
- Una linea de 4.32 grs. de fino: 9.2 grs de bruto x ley  (470/1000)",Gemma d'Or
E30_16_540,E30_16,5.90,540.00,,3.19,,,3.19,5.90,0,"'
- Una linea de 3.19 grs. de fino: 5.9 grs de bruto x ley  (540/1000)",Nova Joia
E32_15_540,E32_15,8.75,540.00,,4.72,,,4.72,8.75,0,"'
- Una linea de 4.72 grs. de fino: 8.75 grs de bruto x ley  (540/1000)",Nova Joia
E33_7_540,E33_7,2.71,540.00,,1.46,,,1.46,2.71,0,"'
- Una linea de 1.46 grs. de fino: 2.71 grs de bruto x ley  (540/1000)",Nova Joia
E30_4_565,E30_4,29.12,565.00,,16.45,,,16.45,29.12,0,"'
- Una linea de 16.45 grs. de fino: 29.12 grs de bruto x ley  (565/1000)",La Milla d'Or
E30_18_565,E30_18,34.09,565.00,,19.26,,,19.26,34.09,0,"'
- Una linea de 19.26 grs. de fino: 34.09 grs de bruto x ley  (565/1000)",La Milla d'Or
E31_4_565,E31_4,14.66,565.00,,8.28,,,8.28,14.66,0,"'
- Una linea de 8.28 grs. de fino: 14.66 grs de bruto x ley  (565/1000)",La Milla d'Or
E31_13_565,E31_13,5.97,565.00,,3.37,,,3.37,5.97,0,"'
- Una linea de 3.37 grs. de fino: 5.97 grs de bruto x ley  (565/1000)",La Milla d'Or
E32_7_565,E32_7,11.18,565.00,,6.32,,,6.32,11.18,0,"'
- Una linea de 6.32 grs. de fino: 11.18 grs de bruto x ley  (565/1000)",La Milla d'Or
E32_21_565,E32_21,22.49,565.00,,12.71,,,12.71,22.49,0,"'
- Una linea de 12.71 grs. de fino: 22.49 grs de bruto x ley  (565/1000)",La Milla d'Or
E33_14_565,E33_14,5.55,565.00,,3.14,,,3.14,5.55,0,"'
- Una linea de 3.14 grs. de fino: 5.55 grs de bruto x ley  (565/1000)",La Milla d'Or
E31_13_646,E31_13,10.30,646.00,,6.65,,,6.65,10.30,0,"'
- Una linea de 6.65 grs. de fino: 10.3 grs de bruto x ley  (646/1000)",La Milla d'Or
E32_7_646,E32_7,22.50,646.00,,14.54,,,14.54,22.50,0,"'
- Una linea de 14.54 grs. de fino: 22.5 grs de bruto x ley  (646/1000)",La Milla d'Or
E32_21_646,E32_21,83.91,646.00,,54.21,,,54.21,83.91,0,"'
- Una linea de 54.21 grs. de fino: 83.91 grs de bruto x ley  (646/1000)",La Milla d'Or
E33_14_646,E33_14,1.40,646.00,,0.90,,,0.90,1.40,0,"'
- Una linea de 0.9 grs. de fino: 1.4 grs de bruto x ley  (646/1000)",La Milla d'Or
E31_6_666,E31_6,633.40,666.00,16,421.84,,,421.84,633.40,0,"'
- Una linea de 421.84 grs. de fino: 633.4 grs de bruto x ley 16 kts (666/1000)",OrCash
E30_20_700,E30_20,98.30,700.00,,68.81,,,68.81,98.30,0,"'
- Una linea de 68.81 grs. de fino: 98.3 grs de bruto x ley  (700/1000)",Gemma d'Or
E32_14_700,E32_14,301.70,700.00,,211.19,,,211.19,301.70,0,"'
- Una linea de 211.19 grs. de fino: 301.7 grs de bruto x ley  (700/1000)",Gemma d'Or
E32_20_700,E32_20,133.80,700.00,,93.66,,,93.66,133.80,0,"'
- Una linea de 93.66 grs. de fino: 133.8 grs de bruto x ley  (700/1000)",Gemma d'Or
E30_6_708,E30_6,50.00,708.00,,35.40,,,35.40,50.00,0,"'
- Una linea de 35.4 grs. de fino: 50 grs de bruto x ley  (708/1000)",Alquimia
E30_13_708,E30_13,485.08,708.00,,343.44,,,343.44,485.08,0,"'
- Una linea de 343.44 grs. de fino: 485.08 grs de bruto x ley  (708/1000)",OrCash
E30_15_708,E30_15,497.75,708.00,,352.41,,,352.41,497.75,0,"'
- Una linea de 352.41 grs. de fino: 497.75 grs de bruto x ley  (708/1000)",OrCash
E31_1_708,E31_1,794.34,708.00,,562.39,,,562.39,794.34,0,"'
- Una linea de 562.39 grs. de fino: 794.34 grs de bruto x ley  (708/1000)",OrCash
E31_9_708,E31_9,366.33,708.00,,259.36,,,259.36,366.33,0,"'
- Una linea de 259.36 grs. de fino: 366.33 grs de bruto x ley  (708/1000)",OrCash
E31_14_708,E31_14,489.33,708.00,,346.45,,,346.45,489.33,0,"'
- Una linea de 346.45 grs. de fino: 489.33 grs de bruto x ley  (708/1000)",OrCash
E32_23_708,E32_23,285.07,708.00,,201.83,,,201.83,285.07,0,"'
- Una linea de 201.83 grs. de fino: 285.07 grs de bruto x ley  (708/1000)",OrCash
E32_26_708,E32_26,34.00,708.00,,24.07,,,24.07,34.00,0,"'
- Una linea de 24.07 grs. de fino: 34 grs de bruto x ley  (708/1000)",Alquimia
E32_25_708,E32_25,243.99,708.00,,172.74,,,172.74,243.99,0,"'
- Una linea de 172.74 grs. de fino: 243.99 grs de bruto x ley  (708/1000)",OrCash
E33_9_708,E33_9,209.33,708.00,,148.21,,,148.21,209.33,0,"'
- Una linea de 148.21 grs. de fino: 209.33 grs de bruto x ley  (708/1000)",OrCash
E33_11_708,E33_11,366.66,708.00,,259.60,,,259.60,366.66,0,"'
- Una linea de 259.6 grs. de fino: 366.66 grs de bruto x ley  (708/1000)",OrCash
E32_17_708.8,E32_17,388.53,708.80,,275.39,,,275.39,388.53,0,"'
- Una linea de 275.39 grs. de fino: 388.53 grs de bruto x ley  (708.8/1000)",OrCash
E30_3_710,E30_3,374.35,710.00,,265.79,,,265.79,374.35,0,"'
- Una linea de 265.79 grs. de fino: 374.35 grs de bruto x ley  (710/1000)",Nova Joia
E30_3_710,E30_3,95.05,710.00,,67.49,,,67.49,95.05,0,"'
- Una linea de 67.49 grs. de fino: 95.05 grs de bruto x ley  (710/1000)",Nova Joia
E30_7_710,E30_7,152.00,710.00,,107.92,,,107.92,152.00,0,"'
- Una linea de 107.92 grs. de fino: 152 grs de bruto x ley  (710/1000)",Gemma d'Or
E30_16_710,E30_16,407.30,710.00,,289.18,,,289.18,407.30,0,"'
- Una linea de 289.18 grs. de fino: 407.3 grs de bruto x ley  (710/1000)",Nova Joia
E30_17_710,E30_17,64.10,710.00,,45.51,,,45.51,64.10,0,"'
- Una linea de 45.51 grs. de fino: 64.1 grs de bruto x ley  (710/1000)",Nova Joia
E30_19_710,E30_19,219.30,710.00,18,155.70,,,155.70,219.30,0,"'
- Una linea de 155.7 grs. de fino: 219.3 grs de bruto x ley 18 kts (710/1000)",Nova Joia
E31_5_710,E31_5,301.45,710.00,,214.03,,,214.03,301.45,0,"'
- Una linea de 214.03 grs. de fino: 301.45 grs de bruto x ley  (710/1000)",Nova Joia
E31_8_710,E31_8,376.00,710.00,,266.96,,,266.96,376.00,0,"'
- Una linea de 266.96 grs. de fino: 376 grs de bruto x ley  (710/1000)",Nova Joia
E31_11_710,E31_11,70.60,710.00,,50.13,,,50.13,70.60,0,"'
- Una linea de 50.13 grs. de fino: 70.6 grs de bruto x ley  (710/1000)",Gemma d'Or
E31_12_710,E31_12,162.50,710.00,,115.38,,,115.38,162.50,0,"'
- Una linea de 115.38 grs. de fino: 162.5 grs de bruto x ley  (710/1000)",Nova Joia
E31_12_710,E31_12,141.45,710.00,,100.43,,,100.43,141.45,0,"'
- Una linea de 100.43 grs. de fino: 141.45 grs de bruto x ley  (710/1000)",Nova Joia
E32_1_710,E32_1,211.59,710.00,,150.23,,,150.23,211.59,0,"'
- Una linea de 150.23 grs. de fino: 211.59 grs de bruto x ley  (710/1000)",Nova Joia
E32_4_710,E32_4,115.03,710.00,,81.67,,,81.67,115.03,0,"'
- Una linea de 81.67 grs. de fino: 115.03 grs de bruto x ley  (710/1000)",Nova Joia
E32_5_710,E32_5,141.22,710.00,,100.27,,,100.27,141.22,0,"'
- Una linea de 100.27 grs. de fino: 141.22 grs de bruto x ley  (710/1000)",Nova Joia
E32_9_710,E32_9,176.86,710.00,,125.57,,,125.57,176.86,0,"'
- Una linea de 125.57 grs. de fino: 176.86 grs de bruto x ley  (710/1000)",Nova Joia
E32_10_710,E32_10,244.51,710.00,,173.60,,,173.60,244.51,0,"'
- Una linea de 173.6 grs. de fino: 244.51 grs de bruto x ley  (710/1000)",Nova Joia
E32_11_710,E32_11,323.54,710.00,,229.71,,,229.71,323.54,0,"'
- Una linea de 229.71 grs. de fino: 323.54 grs de bruto x ley  (710/1000)",OrCash
E32_15_710,E32_15,197.64,710.00,,140.32,,,140.32,197.64,0,"'
- Una linea de 140.32 grs. de fino: 197.64 grs de bruto x ley  (710/1000)",Nova Joia
E32_18_710,E32_18,180.92,710.00,,128.45,,,128.45,180.92,0,"'
- Una linea de 128.45 grs. de fino: 180.92 grs de bruto x ley  (710/1000)",Nova Joia
E32_18_710,E32_18,84.76,710.00,,60.18,,,60.18,84.76,0,"'
- Una linea de 60.18 grs. de fino: 84.76 grs de bruto x ley  (710/1000)",Nova Joia
E33_3_710,E33_3,187.80,710.00,,133.34,,,133.34,187.80,0,"'
- Una linea de 133.34 grs. de fino: 187.8 grs de bruto x ley  (710/1000)",Nova Joia
E33_7_710,E33_7,249.40,710.00,,177.07,,,177.07,249.40,0,"'
- Una linea de 177.07 grs. de fino: 249.4 grs de bruto x ley  (710/1000)",Nova Joia
E33_10_710,E33_10,141.71,710.00,,100.61,,,100.61,141.71,0,"'
- Una linea de 100.61 grs. de fino: 141.71 grs de bruto x ley  (710/1000)",Nova Joia
E33_12_710,E33_12,153.43,710.00,,108.94,,,108.94,153.43,0,"'
- Una linea de 108.94 grs. de fino: 153.43 grs de bruto x ley  (710/1000)",Nova Joia
E33_18_710,E33_18,750.34,710.00,,532.74,,,532.74,750.34,0,"'
- Una linea de 532.74 grs. de fino: 750.34 grs de bruto x ley  (710/1000)",Nova Joia
E33_19_710,E33_19,198.26,710.00,,140.76,,,140.76,198.26,0,"'
- Una linea de 140.76 grs. de fino: 198.26 grs de bruto x ley  (710/1000)",Nova Joia
E30_2_720,E30_2,348.40,720.00,,250.85,,,250.85,348.40,0,"'
- Una linea de 250.85 grs. de fino: 348.4 grs de bruto x ley  (720/1000)",Gemma d'Or
E30_9_720,E30_9,134.80,720.00,,97.06,,,97.06,134.80,0,"'
- Una linea de 97.06 grs. de fino: 134.8 grs de bruto x ley  (720/1000)",Gemma d'Or
E30_10_720,E30_10,108.90,720.00,,78.41,,,78.41,108.90,0,"'
- Una linea de 78.41 grs. de fino: 108.9 grs de bruto x ley  (720/1000)",Gemma d'Or
E30_12_720,E30_12,94.70,720.00,,68.18,,,68.18,94.70,0,"'
- Una linea de 68.18 grs. de fino: 94.7 grs de bruto x ley  (720/1000)",Gemma d'Or
E32_3_720,E32_3,78.00,720.00,,56.16,,,56.16,78.00,0,"'
- Una linea de 56.16 grs. de fino: 78 grs de bruto x ley  (720/1000)",Gemma d'Or
E32_12_720,E32_12,353.40,720.00,,254.45,,,254.45,353.40,0,"'
- Una linea de 254.45 grs. de fino: 353.4 grs de bruto x ley  (720/1000)",Gemma d'Or
E33_2_720,E33_2,99.30,720.00,,71.50,,,71.50,99.30,0,"'
- Una linea de 71.5 grs. de fino: 99.3 grs de bruto x ley  (720/1000)",Gemma d'Or
E30_1_730,E30_1,123.90,730.00,,90.45,,,90.45,123.90,0,"'
- Una linea de 90.45 grs. de fino: 123.9 grs de bruto x ley  (730/1000)",Gemma d'Or
E30_4_730,E30_4,650.47,730.00,,474.84,,,474.84,650.47,0,"'
- Una linea de 474.84 grs. de fino: 650.47 grs de bruto x ley  (730/1000)",La Milla d'Or
E30_8_730,E30_8,253.50,730.00,,185.06,,,185.06,253.50,0,"'
- Una linea de 185.06 grs. de fino: 253.5 grs de bruto x ley  (730/1000)",Gemma d'Or
E30_9_730,E30_9,351.70,730.00,,256.74,,,256.74,351.70,0,"'
- Una linea de 256.74 grs. de fino: 351.7 grs de bruto x ley  (730/1000)",Gemma d'Or
E30_14_730,E30_14,175.00,730.00,,127.75,,,127.75,175.00,0,"'
- Una linea de 127.75 grs. de fino: 175 grs de bruto x ley  (730/1000)",Gemma d'Or
E30_18_730,E30_18,670.52,730.00,,489.48,,,489.48,670.52,0,"'
- Una linea de 489.48 grs. de fino: 670.52 grs de bruto x ley  (730/1000)",La Milla d'Or
E30_21_730,E30_21,284.30,730.00,,207.54,,,207.54,284.30,0,"'
- Una linea de 207.54 grs. de fino: 284.3 grs de bruto x ley  (730/1000)",Gemma d'Or
E31_3_730,E31_3,102.70,730.00,,74.97,,,74.97,102.70,0,"'
- Una linea de 74.97 grs. de fino: 102.7 grs de bruto x ley  (730/1000)",Gemma d'Or
E31_4_730,E31_4,650.77,730.00,,475.06,,,475.06,650.77,0,"'
- Una linea de 475.06 grs. de fino: 650.77 grs de bruto x ley  (730/1000)",La Milla d'Or
E31_13_730,E31_13,602.02,730.00,,439.47,,,439.47,602.02,0,"'
- Una linea de 439.47 grs. de fino: 602.02 grs de bruto x ley  (730/1000)",La Milla d'Or
E32_7_730,E32_7,537.22,730.00,,392.17,,,392.17,537.22,0,"'
- Una linea de 392.17 grs. de fino: 537.22 grs de bruto x ley  (730/1000)",La Milla d'Or
E32_20_730,E32_20,186.50,730.00,,136.15,,,136.15,186.50,0,"'
- Una linea de 136.15 grs. de fino: 186.5 grs de bruto x ley  (730/1000)",Gemma d'Or
E32_22_730,E32_22,100.00,730.00,,73.00,,,73.00,100.00,0,"'
- Una linea de 73 grs. de fino: 100 grs de bruto x ley  (730/1000)",Gemma d'Or
E32_21_730,E32_21,803.95,730.00,,586.88,,,586.88,803.95,0,"'
- Una linea de 586.88 grs. de fino: 803.95 grs de bruto x ley  (730/1000)",La Milla d'Or
E32_24_730,E32_24,83.20,730.00,,60.74,,,60.74,83.20,0,"'
- Una linea de 60.74 grs. de fino: 83.2 grs de bruto x ley  (730/1000)",Gemma d'Or
E33_14_730,E33_14,867.12,730.00,,633.00,,,633.00,867.12,0,"'
- Una linea de 633 grs. de fino: 867.12 grs de bruto x ley  (730/1000)",La Milla d'Or
E33_15_730,E33_15,120.70,730.00,,88.11,,,88.11,120.70,0,"'
- Una linea de 88.11 grs. de fino: 120.7 grs de bruto x ley  (730/1000)",Gemma d'Or
E30_8_740,E30_8,147.00,740.00,,108.78,,,108.78,147.00,0,"'
- Una linea de 108.78 grs. de fino: 147 grs de bruto x ley  (740/1000)",Gemma d'Or
E30_14_740,E30_14,157.30,740.00,,116.40,,,116.40,157.30,0,"'
- Una linea de 116.4 grs. de fino: 157.3 grs de bruto x ley  (740/1000)",Gemma d'Or
E33_8_740,E33_8,149.60,740.00,,110.70,,,110.70,149.60,0,"'
- Una linea de 110.7 grs. de fino: 149.6 grs de bruto x ley  (740/1000)",Gemma d'Or
E33_16_740,E33_16,255.70,740.00,,189.22,,,189.22,255.70,0,"'
- Una linea de 189.22 grs. de fino: 255.7 grs de bruto x ley  (740/1000)",Gemma d'Or
E30_2_750,E30_2,72.20,750.00,,54.15,,,54.15,72.20,0,"'
- Una linea de 54.15 grs. de fino: 72.2 grs de bruto x ley  (750/1000)",Gemma d'Or
E30_3_750,E30_3,12.40,750.00,,9.30,,,9.30,12.40,0,"'
- Una linea de 9.3 grs. de fino: 12.4 grs de bruto x ley  (750/1000)",Nova Joia
E30_14_750,E30_14,89.80,750.00,,67.35,,,67.35,89.80,0,"'
- Una linea de 67.35 grs. de fino: 89.8 grs de bruto x ley  (750/1000)",Gemma d'Or
E31_8_750,E31_8,60.20,750.00,,45.15,,,45.15,60.20,0,"'
- Una linea de 45.15 grs. de fino: 60.2 grs de bruto x ley  (750/1000)",Nova Joia
E31_10_750,E31_10,199.70,750.00,,149.78,,,149.78,199.70,0,"'
- Una linea de 149.78 grs. de fino: 199.7 grs de bruto x ley  (750/1000)",Gemma d'Or
E31_15_750,E31_15,239.00,750.00,,179.25,,,179.25,239.00,0,"'
- Una linea de 179.25 grs. de fino: 239 grs de bruto x ley  (750/1000)",Gemma d'Or
E32_3_750,E32_3,47.10,750.00,,35.33,,,35.33,47.10,0,"'
- Una linea de 35.33 grs. de fino: 47.1 grs de bruto x ley  (750/1000)",Gemma d'Or
E32_16_750,E32_16,106.50,750.00,,79.88,,,79.88,106.50,0,"'
- Una linea de 79.88 grs. de fino: 106.5 grs de bruto x ley  (750/1000)",Gemma d'Or
E33_6_750,E33_6,246.60,750.00,,184.95,,,184.95,246.60,0,"'
- Una linea de 184.95 grs. de fino: 246.6 grs de bruto x ley  (750/1000)",Gemma d'Or
E30_5_760,E30_5,164.10,760.00,,124.72,,,124.72,164.10,0,"'
- Una linea de 124.72 grs. de fino: 164.1 grs de bruto x ley  (760/1000)",Gemma d'Or
E31_2_760,E31_2,309.50,760.00,,235.22,,,235.22,309.50,0,"'
- Una linea de 235.22 grs. de fino: 309.5 grs de bruto x ley  (760/1000)",Gemma d'Or
E31_10_760,E31_10,166.60,760.00,,126.62,,,126.62,166.60,0,"'
- Una linea de 126.62 grs. de fino: 166.6 grs de bruto x ley  (760/1000)",Gemma d'Or
E32_18_760,E32_18,9.43,760.00,,7.17,,,7.17,9.43,0,"'
- Una linea de 7.17 grs. de fino: 9.43 grs de bruto x ley  (760/1000)",Nova Joia
E33_16_760,E33_16,166.40,760.00,,126.46,,,126.46,166.40,0,"'
- Una linea de 126.46 grs. de fino: 166.4 grs de bruto x ley  (760/1000)",Gemma d'Or
E30_4_780,E30_4,8.98,780.00,,7.00,,,7.00,8.98,0,"'
- Una linea de 7 grs. de fino: 8.98 grs de bruto x ley  (780/1000)",La Milla d'Or
E30_18_780,E30_18,34.00,780.00,,26.52,,,26.52,34.00,0,"'
- Una linea de 26.52 grs. de fino: 34 grs de bruto x ley  (780/1000)",La Milla d'Or
E31_4_780,E31_4,52.55,780.00,,40.99,,,40.99,52.55,0,"'
- Una linea de 40.99 grs. de fino: 52.55 grs de bruto x ley  (780/1000)",La Milla d'Or
E31_11_780,E31_11,33.80,780.00,,26.36,,,26.36,33.80,0,"'
- Una linea de 26.36 grs. de fino: 33.8 grs de bruto x ley  (780/1000)",Gemma d'Or
E31_13_780,E31_13,10.22,780.00,,7.97,,,7.97,10.22,0,"'
- Una linea de 7.97 grs. de fino: 10.22 grs de bruto x ley  (780/1000)",La Milla d'Or
E32_5_780,E32_5,8.15,780.00,,6.36,,,6.36,8.15,0,"'
- Una linea de 6.36 grs. de fino: 8.15 grs de bruto x ley  (780/1000)",Nova Joia
E32_7_780,E32_7,47.73,780.00,,37.23,,,37.23,47.73,0,"'
- Una linea de 37.23 grs. de fino: 47.73 grs de bruto x ley  (780/1000)",La Milla d'Or
E32_21_780,E32_21,23.75,780.00,,18.52,,,18.52,23.75,0,"'
- Una linea de 18.52 grs. de fino: 23.75 grs de bruto x ley  (780/1000)",La Milla d'Or
E33_14_780,E33_14,42.24,780.00,,32.95,,,32.95,42.24,0,"'
- Una linea de 32.95 grs. de fino: 42.24 grs de bruto x ley  (780/1000)",La Milla d'Or
E33_8_790,E33_8,146.80,790.00,,115.97,,,115.97,146.80,0,"'
- Una linea de 115.97 grs. de fino: 146.8 grs de bruto x ley  (790/1000)",Gemma d'Or
E33_13_790,E33_13,63.60,790.00,,50.24,,,50.24,63.60,0,"'
- Una linea de 50.24 grs. de fino: 63.6 grs de bruto x ley  (790/1000)",Gemma d'Or
E33_5_791,E33_5,362.30,791.00,,286.58,,,286.58,362.30,0,"'
- Una linea de 286.58 grs. de fino: 362.3 grs de bruto x ley  (791/1000)",OrCash
E31_5_800,E31_5,33.20,800.00,,26.56,,,26.56,33.20,0,"'
- Una linea de 26.56 grs. de fino: 33.2 grs de bruto x ley  (800/1000)",Nova Joia
E30_16_810,E30_16,8.80,810.00,,7.13,,,7.13,8.80,0,"'
- Una linea de 7.13 grs. de fino: 8.8 grs de bruto x ley  (810/1000)",Nova Joia
E32_24_810,E32_24,26.50,810.00,,21.47,,,21.47,26.50,0,"'
- Una linea de 21.47 grs. de fino: 26.5 grs de bruto x ley  (810/1000)",Gemma d'Or
E32_2_830,E32_2,10.60,830.00,20,8.80,,,8.80,10.60,0,"'
- Una linea de 8.8 grs. de fino: 10.6 grs de bruto x ley 20 kts (830/1000)",Alquimia
E30_4_855,E30_4,2.06,855.00,,1.76,,,1.76,2.06,0,"'
- Una linea de 1.76 grs. de fino: 2.06 grs de bruto x ley  (855/1000)",La Milla d'Or
E32_2_870,E32_2,1.20,870.00,21,1.04,,,1.04,1.20,0,"'
- Una linea de 1.04 grs. de fino: 1.2 grs de bruto x ley 21 kts (870/1000)",Alquimia
E32_21_896,E32_21,33.93,896.00,,30.40,,,30.40,33.93,0,"'
- Una linea de 30.4 grs. de fino: 33.93 grs de bruto x ley  (896/1000)",La Milla d'Or
E33_14_896,E33_14,34.55,896.00,,30.96,,,30.96,34.55,0,"'
- Una linea de 30.96 grs. de fino: 34.55 grs de bruto x ley  (896/1000)",La Milla d'Or
E30_6_900,E30_6,25.70,900.00,,23.13,,,23.13,25.70,0,"'
- Una linea de 23.13 grs. de fino: 25.7 grs de bruto x ley  (900/1000)",Alquimia
E30_16_900,E30_16,250.85,900.00,,225.77,,,225.77,250.85,0,"'
- Una linea de 225.77 grs. de fino: 250.85 grs de bruto x ley  (900/1000)",Nova Joia
E32_4_900,E32_4,120.01,900.00,,108.01,,,108.01,120.01,0,"'
- Una linea de 108.01 grs. de fino: 120.01 grs de bruto x ley  (900/1000)",Nova Joia
E32_5_900,E32_5,5.96,900.00,,5.36,,,5.36,5.96,0,"'
- Una linea de 5.36 grs. de fino: 5.96 grs de bruto x ley  (900/1000)",Nova Joia
E32_19_900,E32_19,310.89,900.00,,279.80,,,279.80,310.89,0,"'
- Una linea de 279.8 grs. de fino: 310.89 grs de bruto x ley  (900/1000)",Nova Joia
E30_16_917,E30_16,55.85,917.00,,51.21,,,51.21,55.85,0,"'
- Una linea de 51.21 grs. de fino: 55.85 grs de bruto x ley  (917/1000)",Nova Joia
E33_16_930,E33_16,51.30,930.00,,47.71,,,47.71,51.30,0,"'
- Una linea de 47.71 grs. de fino: 51.3 grs de bruto x ley  (930/1000)",Gemma d'Or
E32_4_986,E32_4,19.96,986.00,,19.68,,,19.68,19.96,0,"'
- Una linea de 19.68 grs. de fino: 19.96 grs de bruto x ley  (986/1000)",Nova Joia
E31_13_999,E31_13,118.25,999.00,,118.13,,,118.13,118.25,0,"'
- Una linea de 118.13 grs. de fino: 118.25 grs de bruto x ley  (999/1000)",La Milla d'Or
E32_6_999,E32_6,100.00,999.00,,99.90,,,99.90,100.00,0,"'
- Una linea de 99.9 grs. de fino: 100 grs de bruto x ley  (999/1000)",OrCash
E32_8_999,E32_8,200.00,999.00,,199.80,,,199.80,200.00,0,"'
- Una linea de 199.8 grs. de fino: 200 grs de bruto x ley  (999/1000)",Gemma d'Or
E32_13_999,E32_13,175.00,999.00,,174.83,,,174.83,175.00,0,"'
- Una linea de 174.83 grs. de fino: 175 grs de bruto x ley  (999/1000)",Gemma d'Or
E31_7_999.9,E31_7,1000.00,999.90,24,999.90,,,999.90,1000.00,0,"'
- Una linea de 999.9 grs. de fino: 1000 grs de bruto x ley 24 kts (999.9/1000)",OrCash
E33_1_999.9,E33_1,131.50,999.90,,131.49,,,131.49,131.50,0,"'
- Una linea de 131.49 grs. de fino: 131.5 grs de bruto x ley  (999.9/1000)",Gemma d'Or
