Paquete,Cliente,Tipo genero,bruto,Total Fra,Fixing,Importe Pagado,Dto.,Fino Fra,Igi,Fino x Precio,Base,fino_factura,multiples_precios,Expedición,P.V. Jof Cierre,P.V. Jof OK,Fra a Jofisa,Margen
E50_1,Gaudia,Lingote Chatarra 18K,404.79,€32705.21,€106.17,,5.00%,310.30,4.50%,€32944.05,€31296.85,310.30,€0.00,E50,€106.00,€106.00,€32891.30,1594.5
E50_2,Gemma d'Or,lingot o làmina amb llei menor a 995,403.60,€40119.86,€105.75,,6.00%,403.60,0.00%,€42680.70,€40119.86,403.60,€0.00,E50,€105.50,€105.50,€42579.80,2459.9
E50_3,Gemma d'Or,Chatarra,161.10,€15164.84,€105.87,,6.50%,146.60,4.50%,€15520.65,€14511.81,146.60,€0.00,E50,€105.62,€105.62,€15484.00,972.2
E50_4,Gaudia,Lingote Chatarra 18K,208.40,€15570.56,€106.30,,5.00%,147.55,4.50%,€15684.27,€14900.05,147.55,€0.00,E50,€106.05,€106.05,€15647.38,747.3
E50_5,Gaudia,Lingote Chatarra 18K,617.83,€50638.16,€116.61,,5.00%,437.42,4.50%,€51007.97,€48457.57,437.42,€0.00,E50,€116.28,€116.28,€50863.62,2406.0
E50_6,La Milla d'Or,Chatarra,342.07,€25465.37,€108.65,,6.50%,249.88,4.50%,€26062.86,€24368.78,239.88,€0.00,E50,€108.40,€108.40,€27086.89,2718.1
E50_7,Gemma d'Or,Lingote Chatarra 18K,235.90,€18540.41,€111.72,,6.50%,169.85,4.50%,€18975.42,€17742.02,169.85,€0.00,E50,€111.47,€111.47,€18932.96,1190.9
E50_8,La Milla d'Or,Chatarra,242.55,€20065.85,€113.00,,6.50%,181.74,4.50%,€20536.65,€19201.77,181.74,€0.00,E50,€112.75,€112.75,€20491.22,1289.4
E50_9,OrCash,Chatarra,126.85,€13188.93,€116.52,,5.00%,114.02,4.50%,€13285.24,€12620.98,114.02,€0.00,E50,€116.27,€116.27,€13256.74,635.8
E50_10,OrCash,Chatarra,91.73,€9592.50,€119.47,,5.00%,80.88,4.50%,€9662.55,€9179.43,80.88,€0.00,E50,€119.22,€119.22,€9642.33,462.9
E50_11,Nova Joia,Chatarra,635.38,€54235.91,€118.91,,6.50%,466.81,4.50%,€55508.44,€51900.39,466.81,€0.00,E50,€118.66,€118.66,€55391.73,3491.3
E50_12,Gaudia,Lingote Chatarra 18K,445.88,€37146.63,€118.53,,5.00%,315.68,4.50%,€37417.91,€35547.02,315.68,€0.00,E50,€118.28,€118.28,€37338.99,1792.0
E50_13,Gemma d'Or,Lingote Chatarra 18K,401.50,€32952.23,€117.05,,6.50%,288.13,4.50%,€33725.38,€31533.23,288.13,€0.00,E50,€116.80,€116.80,€33653.35,2120.1
E51_1,Alquimia,Lingote Chatarra 18K,35.72,€2893.03,€118.08,,6.50%,25.08,4.50%,€2960.91,€2768.45,25.08,€0.00,E51,€117.83,€117.83,€2954.64,186.2
E50_15,OrCash,Lingote Chatarra 18K,599.46,€49875.28,€116.78,,6.50%,437.11,4.50%,€51045.50,€47727.54,437.11,€0.00,E50,€116.53,€116.53,€50936.22,3208.7
E50_16,Nova Joia,Chatarra,333.31,€26669.53,€115.06,,6.50%,237.23,4.50%,€27295.27,€25521.08,237.23,€0.00,E50,€118.66,€118.66,€28149.28,2628.2
E50_17,Gemma d'Or,Lingote Chatarra 18K,186.00,€14606.77,€111.63,,6.50%,133.92,4.50%,€14949.49,€13977.77,133.92,€0.00,E50,€111.38,€111.38,€14916.01,938.2
E50_18,OrCash,Lingote Chatarra 22K,201.77,€20591.71,€112.72,,5.00%,184.01,4.50%,€20742.09,€19704.98,184.01,€0.00,E50,€112.47,€112.47,€20696.08,991.1
E50_19,OrCash,Lingote Chatarra 22K,644.20,€66303.97,€113.68,,5.00%,587.51,4.50%,€66788.18,€63448.77,587.51,€0.00,E50,€113.57,€113.57,€66723.56,3274.8
E50_20,OrCash,Lingote Chatarra 22K,644.20,€65257.06,€113.68,,6.50%,587.51,4.50%,€66788.18,€62446.95,587.51,€0.00,E50,€111.30,€111.30,€65389.91,2943.0
E50_21,La Milla d'Or,Chatarra,596.23,€47784.51,€111.58,,6.50%,438.30,4.50%,€48905.67,€45726.80,438.30,€0.00,E50,€111.33,€111.33,€48796.09,3069.3
E50_22,Gemma d'Or,Lingote Chatarra 18K,213.70,€16770.06,€111.55,,6.50%,153.86,4.50%,€17163.53,€16047.90,153.86,€0.00,E50,€111.30,€111.30,€17125.06,1077.2
E50_23,Mador stock,lingot o làmina amb llei menor a 995,950.00,€102104.34,,,6.50%,950.00,4.50%,€104500.00,€97707.50,950.00,€0.00,E50,,€110.00,€104500.00,6792.5
E50_24,OrCash,Lingote Chatarra 18K,230.36,€17918.82,€108.70,,5.00%,166.05,4.50%,€18049.68,€17147.19,166.05,€0.00,E50,€108.45,€108.45,€18008.17,861.0
E51_2,Gaudia,Lingote Chatarra 18K,423.01,€33076.82,€111.25,,5.00%,299.49,4.50%,€33318.38,€31652.46,299.49,€0.00,E51,€111.00,€111.00,€33243.51,1591.0
E51_3,La Milla d'Or,Lingote Chatarra 18K,795.50,€62860.19,€111.55,,6.50%,576.74,4.50%,€64335.07,€60153.29,576.74,€0.00,E51,€111.30,€111.30,€64190.88,4037.6
E51_4,Gemma d'Or,Lingote Chatarra 18K,293.60,€23044.32,€111.57,,6.50%,211.39,4.50%,€23585.01,€22051.98,211.39,€0.00,E51,€111.32,€111.32,€23532.16,1480.2
E51_5,OrCash,Lingote Chatarra 18K,283.07,€22509.14,€111.12,,5.00%,204.05,4.50%,€22673.52,€21539.84,204.05,€0.00,E51,€110.87,€110.87,€22622.51,1082.7
E51_6,OrCash,Lingote Chatarra 18K,453.88,€37022.62,€111.41,,5.00%,334.74,4.50%,€37292.99,€35428.34,334.74,€0.00,E51,,€112.00,€37490.49,2062.1
E51_7,Gemma d'Or,Lingote Chatarra 18K,254.70,€20898.84,€111.42,,6.50%,196.12,4.50%,€21389.19,€19998.89,191.97,€0.00,E51,€111.17,€111.17,€21802.55,1803.7
E51_8,Gaudia,Lingote Chatarra 18K,764.19,€60829.29,€113.25,,5.00%,541.05,4.50%,€61273.52,€58209.84,541.05,€0.00,E51,€113.07,€113.07,€61176.13,2966.3
E51_9,OrCash,Lingote Chatarra 18K,299.33,€24522.98,€115.15,,5.00%,214.52,4.50%,€24702.07,€23466.97,214.52,€0.00,E51,€114.90,€114.90,€24648.44,1181.5
E51_10,Nova Joia,Lingote Chatarra 18K,624.37,€50103.88,€116.37,,6.50%,440.66,4.50%,€51279.46,€47946.30,440.66,€0.00,E51,,€112.00,€49353.78,1407.5
E51_11,OrCash,Lingote Chatarra 18K,178.29,€14681.21,€115.07,,5.00%,128.52,4.50%,€14788.43,€14049.00,128.52,€0.00,E51,€114.82,€114.82,€14756.30,707.3
_12,La Milla d'Or,"Milla Chatarra,Lingote Chatarra 18K",303.89,€24448.09,€114.88,,6.50%,222.81,4.50%,€25021.71,€23395.30,217.81,€0.00,,€114.63,€114.63,€25540.41,2145.1
E51_13,OrCash,Lingote Chatarra 18K,562.90,€46960.21,€115.91,,5.00%,408.10,4.50%,€47303.16,€44938.00,408.10,€0.00,E51,€115.66,€115.66,€47201.14,2263.1
E51_14,Gaudia,Lingote Chatarra 18K,509.88,€41829.86,€116.72,,5.00%,361.00,4.50%,€42135.34,€40028.57,361.00,€0.00,E51,€116.47,€116.47,€42045.09,2016.5
E51_15,Gemma d'Or,Lingote Chatarra 18K,226.40,€16818.69,€116.97,,6.50%,147.16,4.50%,€17213.31,€16094.44,147.16,€0.00,E51,€116.72,€116.72,€17176.52,1082.1
E51_16,Gaudia,Lingote fino,999.93,€106153.89,€112.13,,5.00%,996.53,0.00%,€111740.94,€106153.89,996.53,€0.00,E51,€111.88,€111.88,€111491.80,5337.9
E51_17,La Milla d'Or,Lingote Chatarra 18K,546.59,€44932.88,€112.63,,6.50%,408.30,4.50%,€45987.14,€42997.97,408.30,€0.00,E51,€112.38,€112.38,€45885.06,2887.1
52_1,Gaudia,Lingote Chatarra 18K,724.86,€58899.23,€113.25,,5.00%,523.88,4.50%,€59329.37,€56362.90,523.88,€0.00,52,€112.98,€112.98,€59187.92,2825.0
52_2,Gemma d'Or,Lingote Chatarra 18K,209.50,€16814.81,€114.09,,6.50%,150.84,4.50%,€17209.34,€16090.73,150.84,€0.00,52,€113.84,€113.84,€17171.63,1080.9
52_3,Gaudia,Lingote Chatarra 18K,386.47,€31273.57,€115.13,,5.00%,273.62,4.50%,€31501.96,€29926.86,273.62,€0.00,52,€114.88,€114.88,€31433.55,1506.7
52_4,Contratos particulares,Lingote Chatarra 18K,396.17,€33545.21,€115.24,,6.50%,297.92,4.50%,€34332.28,€32100.68,297.92,€0.00,52,€114.99,€114.99,€34257.80,2157.1
52_5,OrCash,Lingote Chatarra 18K,276.96,€22849.75,€115.29,,5.00%,199.64,4.50%,€23016.62,€21865.79,199.64,€0.00,52,€115.04,€115.04,€22966.71,1100.9
52_6,OrCash,Lingote Chatarra 18K,299.72,€24883.49,€115.35,,5.00%,217.30,4.50%,€25065.21,€23811.95,217.30,€0.00,52,€115.10,€115.10,€25010.88,1198.9
52_7,La Milla d'Or,Chatarra,388.14,€32367.76,€115.33,,6.50%,287.24,4.50%,€33127.20,€30973.93,287.24,€0.00,52,€115.08,€115.08,€33055.39,2081.5
52_8,Nova Joia,Chatarra,666.80,€55451.56,€118.88,,6.50%,477.39,4.50%,€56752.61,€53063.69,477.39,€0.00,52,€118.73,€118.73,€56681.00,3617.3
52_9,Gemma d'Or,Chatarra,159.70,€16221.65,€115.91,,6.50%,143.23,4.50%,€16602.25,€15523.11,143.23,€0.00,52,€115.66,€115.66,€16566.44,1043.3
52_10,Gaudia,Lingote Chatarra 18K,513.40,€41833.56,€115.93,,5.00%,363.49,4.50%,€42139.07,€40032.12,363.49,€0.00,52,€115.69,€115.69,€42051.83,2019.7
52_11,Gemma d'Or,Lingote Chatarra 18K,272.80,€21402.40,€116.37,,6.50%,188.23,4.50%,€21904.56,€20480.76,188.23,€0.00,52,€116.12,€116.12,€21857.50,1376.7
52_12,Gemma d'Or,lingot o làmina amb llei menor a 995,537.50,€58876.78,€116.53,,6.00%,537.50,0.00%,€62634.88,€58876.78,537.50,€0.00,52,€116.28,€116.28,€62500.50,3623.7
52_13,Gaudia,lingot o làmina amb llei menor a 995,1100.00,€121721.60,€116.48,,5.00%,1100.00,0.00%,€128128.00,€121721.60,1100.00,€0.00,52,€116.28,€116.28,€127908.00,6186.4
52_14,Gaudia,lingot o làmina amb llei menor a 995,462.00,€51092.35,€116.41,,5.00%,462.00,0.00%,€53781.42,€51092.35,462.00,€0.00,52,€116.10,€116.10,€53638.20,2545.9
52_15,OrCash,Lingote Chatarra 18K,207.76,€16938.34,€115.94,,5.00%,147.16,4.50%,€17062.04,€16208.93,147.16,€0.00,52,€115.69,€115.69,€17025.25,816.3
52_16,OrCash,Lingote Chatarra 18K,212.07,€17313.58,€116.10,,5.00%,150.22,4.50%,€17440.02,€16568.02,150.22,€0.00,52,€115.85,€115.85,€17402.47,834.4
52_17,La Milla d'Or,Chatarra,256.04,€21256.75,€118.73,,6.50%,189.24,4.50%,€21755.49,€20341.39,183.24,€0.00,52,€118.48,€118.48,€22420.56,2079.2
52_18,Gemma d'Or,Lingote Chatarra 18K,288.80,€24742.10,€118.33,,6.50%,214.00,4.50%,€25322.62,€23676.65,214.00,€0.00,52,€118.08,€118.08,€25269.12,1592.5
52_19,OrCash,Lingote Chatarra 18K,339.40,€28429.00,€118.42,,5.00%,241.82,4.50%,€28636.62,€27204.79,241.82,€0.00,52,€118.17,€118.17,€28576.16,1371.4
52_20,Gaudia,Lingote Chatarra 18K,767.27,€66592.05,€117.93,,5.00%,568.80,4.50%,€67078.37,€63724.45,568.80,€0.00,52,€117.68,€117.68,€66936.17,3211.7
52_21,OrCash,Lingote Chatarra 18K,259.98,€21826.24,€118.69,,5.00%,185.24,4.50%,€21985.63,€20886.35,185.24,€0.00,52,€118.44,€118.44,€21939.32,1053.0
52_22,Nova Joia,Chatarra,1153.84,€95509.98,€120.79,,6.50%,809.26,4.50%,€97750.92,€91397.11,809.26,€0.00,52,€120.54,€120.54,€97548.60,6151.5
52_23,La Milla d'Or,Chatarra,287.87,€24419.25,€120.74,,6.50%,206.99,4.50%,€24992.19,€23367.70,206.99,€0.00,52,€120.49,€120.49,€24940.45,1572.7
53_1,OrCash,Lingote Chatarra 18K,244.98,€21169.96,€122.17,,5.00%,174.55,4.50%,€21324.56,€20258.33,174.55,€0.00,53,€121.92,€121.92,€21280.92,1022.6
53_2,Gaudia,Lingote Chatarra 18K,399.20,€34537.15,€123.09,,5.00%,282.63,4.50%,€34789.37,€33049.90,282.63,€0.00,53,€123.07,€123.07,€34783.72,1733.8
53_3,OrCash,Lingote Chatarra 18K,323.96,€29155.19,€122.92,,5.00%,238.92,4.50%,€29368.11,€27899.70,238.92,€0.00,53,€122.67,€122.67,€29308.38,1408.7
53_4,Gemma d'Or,Lingote Chatarra 18K,114.40,€10165.71,€122.90,,6.50%,84.66,4.50%,€10404.22,€9727.95,84.66,€0.00,53,€122.65,€122.65,€10383.06,655.1
53_5,Nova Joia,Chatarra,990.56,€81851.89,€122.39,,6.50%,706.47,4.50%,€83772.37,€78327.16,684.47,€0.00,53,€122.14,€122.14,€86288.33,7961.2
53_6,La Milla d'Or,Chatarra,641.35,€54725.46,€121.95,,6.50%,465.28,4.50%,€56009.48,€52368.86,459.28,€0.00,53,€121.70,€121.70,€56624.86,4256.0
53_7,Gaudia,Lingote Chatarra 18K,588.90,€51102.36,€123.46,,5.00%,416.94,4.50%,€51475.56,€48901.78,416.94,€0.00,53,€123.21,€123.21,€51371.33,2469.5
53_8,OrCash,Lingote Chatarra 18K,536.16,€49591.00,€126.33,,5.00%,395.42,4.50%,€49953.16,€47455.50,395.42,€0.00,53,€126.08,€126.08,€49854.30,2398.8
