Paquete,Cliente,Expedición,Fixing,Dto.,bruto,Fino Fra,Igi,Fino x Precio,Base,Total Fra,Nº Paquete,fino_factura,P.V. Jof OK,Fra a Jofisa,Margen
E30_4,La Milla d'Or,E30,€54.86,6.50%,697.95,502.66,4.50%,€27575.94,€25783.50,€26943.76,4,502.66,€54.61,€27450.27,1666.8
E30_3,Nova Joia,E30,€56.01,6.50%,481.80,342.57,4.50%,€19187.57,€17940.38,€18747.69,3,342.57,€55.76,€19101.93,1161.5
E30_6,Alquimia,E30,€56.09,7.00%,75.70,58.53,4.50%,€3282.95,€3053.14,€3190.53,6,58.53,€55.84,€3268.32,215.2
E30_17,Nova Joia,E30,€54.86,4.50%,64.10,45.51,4.50%,€2496.73,€2384.38,€2491.68,17,45.51,€54.00,€2457.59,73.2
E30_1,Gemma d'Or,E30,€53.57,6.50%,123.90,90.45,4.50%,€4845.25,€4530.30,€4734.17,1,90.45,€53.32,€4822.63,292.3
E30_5,Gemma d'Or,E30,€55.62,6.50%,164.10,124.72,4.50%,€6936.70,€6485.82,€6777.68,5,124.72,€55.36,€6904.28,418.5
E30_7,Gemma d'Or,E30,€54.78,6.50%,152.00,107.92,4.50%,€5911.86,€5527.59,€5776.33,7,107.92,€54.53,€5884.88,357.3
E30_8,Gemma d'Or,E30,€54.78,6.50%,400.50,293.84,4.50%,€16096.28,€15050.02,€15727.27,8,293.84,€54.53,€16022.82,972.8
E30_10,Gemma d'Or,E30,€53.49,6.50%,108.90,78.41,4.50%,€4194.04,€3921.43,€4097.90,10,78.41,€53.24,€4174.44,253.0
E30_11,Gemma d'Or,E30,€53.15,6.00%,0.00,0.00,,€0.00,€0.00,€0.00,11,0.00,€54.00,€0.00,0.0
E30_9,Gemma d'Or,E30,€53.42,6.50%,486.50,353.80,4.50%,€18899.84,€17671.35,€18466.56,9,353.80,€53.17,€18811.39,1140.0
E30_14,Gemma d'Or,E30,€53.65,6.50%,422.10,311.50,4.50%,€16712.08,€15625.80,€16328.96,14,311.50,€53.51,€16668.47,1042.7
E30_20,Gemma d'Or,E30,€54.34,6.50%,98.30,68.81,4.50%,€3739.14,€3496.09,€3653.42,20,68.81,€54.09,€3721.93,225.8
E30_21,Gemma d'Or,E30,€54.10,6.50%,284.30,207.54,4.50%,€11227.86,€10498.05,€10970.46,21,207.54,€53.85,€11175.98,677.9
E30_22,La Milla d'Or,E30,€54.52,6.50%,0.00,0.00,4.50%,€0.00,€0.00,€0.00,22,0.00,€54.00,€0.00,0.0
E30_2,Gemma d'Or,E30,€54.20,6.50%,420.60,305.00,4.50%,€16530.89,€15456.38,€16151.92,2,305.00,€53.95,€16454.64,998.3
E30_15,OrCash,E30,€54.64,5.40%,497.75,352.41,4.50%,€19255.52,€18215.72,€19035.43,15,352.41,€54.39,€19167.42,951.7
E30_16,Nova Joia,E30,€55.13,6.50%,728.70,576.48,4.50%,€31781.15,€29715.37,€31052.56,16,576.48,€54.88,€31637.03,1921.7
E30_12,Gemma d'Or,E30,€53.65,6.50%,105.40,72.20,4.50%,€3873.34,€3621.57,€3784.55,12,72.20,€53.40,€3855.29,233.7
E30_13,OrCash,E30,€53.58,5.00%,485.08,343.44,4.50%,€18401.34,€17481.27,€18267.93,13,343.44,€53.33,€18315.48,834.2
E30_18,La Milla d'Or,E30,€54.52,6.50%,738.61,535.26,4.50%,€29182.40,€27285.54,€28513.39,18,535.26,€54.27,€29048.58,1763.0
E30_19,Nova Joia,E30,€54.56,6.50%,264.30,175.50,4.50%,€9575.44,€8953.04,€9355.93,19,175.50,€54.00,€9477.16,524.1
E31_1,OrCash,E31,€54.52,5.10%,794.34,562.39,4.50%,€30661.65,€29097.91,€30407.31,1,562.39,€54.26,€30515.43,1417.5
E31_3,Gemma d'Or,E31,€54.67,6.50%,102.70,74.97,4.50%,€4098.66,€3832.25,€4004.70,3,74.97,€54.42,€4079.92,247.7
E31_10,Gemma d'Or,E31,€57.21,6.50%,366.30,276.39,4.50%,€15812.33,€14784.53,€15449.83,10,276.39,€56.96,€15743.23,958.7
E31_8,Nova Joia,E31,€57.24,6.50%,436.20,312.11,4.50%,€17865.18,€16703.94,€17455.62,8,312.11,€56.99,€17787.15,1083.2
E31_14,OrCash,E31,€55.37,5.25%,489.33,346.45,4.50%,€19182.70,€18175.60,€18993.51,14,346.45,€55.37,€19182.70,1007.1
E31_15,Gemma d'Or,E31,€55.61,6.50%,239.00,179.25,4.50%,€9968.09,€9320.17,€9739.57,15,179.25,€55.35,€9921.49,601.3
E31_2,Gemma d'Or,E31,€54.67,6.50%,318.70,239.54,4.50%,€13095.87,€12244.64,€12795.65,2,239.54,€54.42,€13035.98,791.3
E31_4,La Milla d'Or,E31,€54.60,6.50%,727.52,527.32,4.50%,€28054.57,€26231.03,€27411.42,4,513.82,€54.35,€28659.84,2428.8
E31_5,Nova Joia,E31,€54.56,6.50%,334.65,240.59,4.50%,€13126.56,€12273.34,€12825.64,5,240.59,€54.31,€13066.42,793.1
E31_6,OrCash,E31,€56.15,5.00%,633.40,421.84,4.50%,€23686.56,€22502.23,€23514.84,6,421.84,€55.90,€23581.10,1078.9
E31_7,OrCash,E31,€56.38,4.86%,1000.00,999.90,0.00%,€56374.36,€53634.57,€53634.57,7,999.90,€56.13,€56124.39,2489.8
E31_13,La Milla d'Or,E31,€55.62,6.50%,748.26,576.14,4.50%,€32044.76,€29961.85,€31310.13,13,576.14,€55.37,€31900.72,1938.9
E31_11,Gemma d'Or,E31,€57.00,6.50%,104.40,76.49,4.50%,€4359.93,€4076.53,€4259.98,11,76.49,€56.75,€4340.81,264.3
E31_12,Nova Joia,E31,€55.17,6.50%,303.95,215.80,4.50%,€11905.93,€11132.05,€11632.99,12,215.80,€54.92,€11851.98,719.9
E31_9,OrCash,E31,€57.24,5.00%,366.33,259.36,4.50%,€14845.86,€14103.57,€14738.23,9,259.36,€57.24,€14845.86,742.3
E32_2,Alquimia,E32,€57.22,7.00%,11.80,9.84,4.50%,€563.16,€523.74,€547.31,2,9.84,€56.97,€560.70,37.0
E32_3,Gemma d'Or,E32,€58.16,6.50%,125.10,91.49,4.50%,€5320.77,€4974.92,€5198.79,3,91.49,€57.91,€5297.90,323.0
