Paquete,Cliente,Tipo genero,Nº Paquete,bruto,Total Fra,Fixing,Dto.,Fino Fra,Igi,Fino x Precio,Base,fino_factura,Expedición,P.V. Jof Cierre,Fra a Jofisa,Margen
E47_1,La Milla d'Or,Chatarra,1,445.31,€28527.95,€94.41,6.50%,318.26,4.50%,€29197.30,€27299.48,309.26,E47,€94.16,€29967.43,2667.9
E47_2,Racó d'Or,Lingote Chatarra,2,159.28,€10559.37,€94.32,5.00%,112.77,4.50%,€10636.49,€10104.66,112.77,E47,€94.07,€10608.30,503.6
E47_3,Gemma d'Or,Chatarra,3,161.00,€10496.57,€93.98,6.50%,114.31,4.50%,€10742.85,€10044.57,114.31,E47,€93.73,€10714.28,669.7
E47_4,Gaudia,Lingote Chatarra,4,592.96,€41969.21,€91.82,5.00%,460.42,4.50%,€42275.71,€40161.93,460.42,E47,€91.68,€42211.25,2049.3
E47_5,Nova Joia,Chatarra,5,597.95,€38114.07,€91.08,6.50%,428.29,4.50%,€39008.33,€36472.79,428.29,E47,€90.83,€38901.26,2428.5
E47_6,Gaudia,Lingote Chatarra,6,506.46,€32207.29,€91.38,5.00%,355.03,4.50%,€32442.50,€30820.38,355.03,E47,€91.13,€32353.74,1533.4
E47_7,OrCash,Lingote Chatarra,7,503.60,€32725.94,€90.81,5.00%,363.01,4.50%,€32964.94,€31316.69,363.01,E47,€90.56,€32874.18,1557.5
E47_8,La Milla d'Or,Chatarra,8,874.96,€55124.86,€90.13,6.50%,625.97,4.50%,€56418.25,€52751.07,625.97,E47,€89.88,€56261.76,3510.7
E47_9,OrCash,Lingote Chatarra,9,477.70,€31223.15,€90.50,5.00%,347.53,4.50%,€31451.17,€29878.61,347.53,E47,€90.25,€31364.29,1485.7
E47_10,Gaudia,Lingote Chatarra,10,279.34,€17884.51,€91.09,5.00%,197.77,4.50%,€18015.12,€17114.36,197.77,E47,€90.84,€17965.67,851.3
E47_11,Gaudia,Lingote Chatarra,11,308.60,€19260.74,€92.38,5.00%,210.02,4.50%,€19401.40,€18431.33,210.02,E47,€92.13,€19348.90,917.6
E47_12,Gemma d'Or,Lingote Chatarra,12,524.80,€35354.72,€92.41,6.50%,391.56,4.50%,€36184.24,€33832.27,391.56,E47,€92.16,€36086.35,2254.1
E47_13,Gaudia,Lingote Chatarra,13,339.30,€23390.72,€92.48,5.00%,254.77,4.50%,€23561.54,€22383.46,254.77,E47,€92.23,€23497.84,1114.4
E47_14,Gaudia,Lingote Chatarra,14,897.70,€65171.02,€92.45,5.00%,710.08,4.50%,€65646.96,€62364.61,710.08,E47,€92.20,€65469.44,3104.8
