ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,Pagado,DEVOLUCIÓN,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa
05/Nov/25,50,"124,29","6214,5",2025-167.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3647,46","117,25","124,29","117,5",5875
05/Nov/25,50,"124,29","6214,5",2025-168.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3647,46","117,25","124,29","117,5",5875
05/Nov/25,50,"125,16",6258,2025-170.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3672,09","118,07","125,16","118,32",5916
05/Nov/25,50,"127,13","6356,5",2025-171.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3730,14","119,93","127,13","120,18",6009
05/Nov/25,50,"121,3",6065,2025-172.pdf,21/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3558,99","114,43","121,3","114,68",5734
05/Nov/25,50,"121,3",6065,2025-173.pdf,21/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3558,99","114,43","121,3","114,68",5734
05/Nov/25,50,"118,31","5915,5",2025-174.pdf,22/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3471,26","111,61","118,31","111,86",5593
05/Nov/25,50,"118,31","5915,5",2025-175.pdf,22/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3471,26","111,61","118,31","111,86",5593
05/Nov/25,50,"121,07","6053,5",2025-176.pdf,23/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3552,07","114,21","121,07","114,46",5723
05/Nov/25,50,"121,07","6053,5",2025-177.pdf,23/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3552,07","114,21","121,07","114,46",5723
05/Nov/25,50,"121,22",6061,2025-178.pdf,24/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3554,23","114,35","121,22","114,6",5730
05/Nov/25,50,"121,22",6061,2025-179.pdf,24/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3554,23","114,35","121,22","114,6",5730
05/Nov/25,50,"121,22",6061,2025-180.pdf,24/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3554,23","114,35","121,22","114,6",5730
05/Nov/25,50,"121,22",6061,2025-181.pdf,24/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3554,23","114,35","121,22","114,6",5730
05/Nov/25,50,"121,22",6061,2025-182.pdf,24/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3554,23","114,35","121,22","114,6",5730
05/Nov/25,50,"114,69","5734,5",2025-185.pdf,28/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3364,9","108,19","114,69","108,44",5422
05/Nov/25,50,"114,69","5734,5",2025-186.pdf,28/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3364,9","108,19","114,69","108,44",5422
05/Nov/25,50,"114,69","5734,5",2025-184.pdf,28/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3364,9","108,19","114,69","108,44",5422
05/Nov/25,50,"118,28",5914,2025-192.pdf,11/04/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3470,45","111,58","118,28","111,83","5591,5"
05/Nov/25,50,"118,28",5914,2025-193.pdf,11/04/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3470,45","111,58","118,28","111,83","5591,5"
05/Nov/25,50,"121,25","6062,5",2025-198.pdf,11/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3557,46","114,38","121,25","114,63","5731,5"
05/Nov/25,50,"121,25","6062,5",2025-199.pdf,11/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3557,46","114,38","121,25","114,63","5731,5"
05/Nov/25,50,"119,86",5993,2025-206.pdf,17/11/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3516,86","113,07","119,86","113,32",5666
05/Nov/25,50,"120,35","6017,5",2025-210.pdf,20/11/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3531,15","113,53","120,35","113,78",5689
05/Nov/25,50,"122,27","6113,5",2025-211.pdf,27/11/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3587,3","115,34","122,27","115,59","5779,5"
05/Nov/25,50,"128,11","6405,5",2025-226.pdf,22/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3758,64","120,85","128,11","121,1",6055
11/Nov/25,50,"128,11","6405,5",2025-227.pdf,22/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3758,64","120,85","128,11","121,1",6055
11/Nov/25,50,"129,39","6469,5",2025-230.pdf,29/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3796,26","122,06","129,39","122,31","6115,5"
11/Nov/25,50,"129,39","6469,5",2025-231.pdf,29/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3796,26","122,06","129,39","122,31","6115,5"
11/Nov/25,50,"126,83","6341,5",2025-232.pdf,30/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3721,23","119,65","126,83","119,9",5995
11/Nov/25,50,"126,83","6341,5",2025-233.pdf,30/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3721,23","119,65","126,83","119,9",5995
11/Nov/25,50,"126,83","6341,5",2025-234.pdf,30/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3721,23","119,65","126,83","119,9",5995
23/dic/25,50,"129,46",6473,2026-1.pdf,1/07/2026,50,0,11-5,Finalizado,TRUE,FALSE,"3798,44","122,13","129,46","122,38",6119
23/dic/25,50,"129,46",6473,2026-2.pdf,1/07/2026,50,0,11-5,Finalizado,TRUE,FALSE,"3798,44","122,13","129,46","122,38",6119
23/dic/25,50,"129,46",6473,2026-3.pdf,1/07/2026,50,0,11-5,Finalizado,TRUE,FALSE,"3798,44","122,13","129,46","122,38",6119
23/dic/25,50,"134,02",6701,2026-9.pdf,1/12/2026,50,0,11-5,Finalizado,TRUE,FALSE,"3932,41","126,43","134,02","126,68",6334
23/dic/25,50,"134,02",6701,2026-10.pdf,1/12/2026,50,0,11-5,Finalizado,TRUE,FALSE,"3932,41","126,43","134,02","126,68",6334
FUTURA,50,"136,63","6831,5",2026-15.pdf,19/01/2026,50,0,FUTURA,En curso,TRUE,FALSE,"4008,92","128,89","136,63","129,14",6457
