ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,Pagado,DEVOLUCIÓN,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,cl
02/dic/25,55,"123,01","6765,55",2025-225.pdf,19/12/2025,55,0,11-5,Finalizado,TRUE,FALSE,"3693,42","116,04","123,01","116,29","6395,95",Milla
23/dic/25,50,,0,,,0,0,11-5,En Curso,FALSE,FALSE,,0,0,"0,25","12,5",Milla
23/dic/25,50,,0,,,0,0,11-5,En Curso,FALSE,FALSE,,0,0,"0,25","12,5",Milla
05/Nov/25,50,"124,54",6227,2025-169.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3654,11","117,49","124,54","117,74",5887,Orcash
05/Nov/25,50,"124,54",6227,2025-169.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3654,11","117,49","124,54","117,74",5887,Orcash
05/Nov/25,50,"124,54",6227,2025-169.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3654,11","117,49","124,54","117,74",5887,Orcash
05/Nov/25,50,"124,54",6227,2025-169.pdf,20/10/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3654,11","117,49","124,54","117,74",5887,Orcash
05/Nov/25,200,"117,74",23548,2025-191.pdf,11/05/2025,200,0,11-5,Finalizado,TRUE,FALSE,"3454,66","111,07","117,74","111,32",22264,Orcash
05/Nov/25,50,"117,97","5898,5",2025-194.pdf,11/06/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3461,46","111,29","117,97","111,54",5577,Orcash
05/Nov/25,50,"117,97","5898,5",2025-194.pdf,11/06/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3461,46","111,29","117,97","111,54",5577,Orcash
05/Nov/25,50,"117,97","5898,5",2025-194.pdf,11/06/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3461,46","111,29","117,97","111,54",5577,Orcash
05/Nov/25,50,"117,97","5898,5",2025-194.pdf,11/06/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3461,46","111,29","117,97","111,54",5577,Orcash
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3395,7","109,23","115,79","109,48",5474,Gaudia
