,ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,pagado,DEVOLUCIÓN,FILTER,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,MGN
NJ,27/Nov/23,50,"61,41","3070,5",2023-54,26/09/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1858,28","57,93","61,41","58,18",2909,"161,5"
NJ,27/Nov/23,50,"60,66",3033,2023-55,28/09/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1858,28","57,22","60,66","57,47","2873,5","159,5"
NJ,27/Nov/23,50,"60,14",3007,2023-56,29/09/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1858,28","56,73","60,14","56,98",2849,158
NJ,27/Nov/23,50,"59,35","2967,5",2023-57,10/02/2023,50,0,,Finalizado,TRUE,FALSE,TRUE,"1858,28","55,99","59,35","56,24",2812,"155,5"
NJ,12/dic/23,50,"63,34",3167,2024-15.pdf,13/02/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1858,28","59,75","63,34",60,3000,167
NJ,12/dic/23,50,"63,97","3198,5",2024-16.pdf,20/02/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1876,5","60,34","63,97","60,59","3029,5",169
NJ,12/dic/23,50,"63,72",3186,2024-17.pdf,22/02/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1869,4","60,11","63,72","60,36",3018,168
NJ,12/dic/23,50,"63,59","3179,5",2024-18.pdf,23/02/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1865,61","59,99","63,59","60,24",3012,"167,5"
NJ,12/dic/23,50,"63,59","3179,5",2024-18.pdf,23/02/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1882,9","60,54","64,18","60,24",3012,"167,5"
NJ,12/dic/23,50,"63,98",3199,2024-21.pdf,27/02/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1876,88","60,35","63,98","60,6",3030,169
NJ,12/dic/23,50,"63,98",3199,2024-21.pdf,27/02/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1877,65","60,37",64,"60,62",3031,168
NJ,12/dic/23,50,"67,72",3386,2024-27.pdf,13/03/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1986,58","63,88","67,72","64,13","3206,5","179,5"
NJ,28/Feb/24,50,"67,72",3386,2024-27.pdf,13/03/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1986,58","63,88","67,72","64,13","3206,5","179,5"
NJ,28/Feb/24,50,"67,74",3387,2024-31.pdf,19/03/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"1987,37","63,9","67,74","64,15","3207,5","179,5"
NJ,28/Feb/24,50,"73,9",3695,2024-47.pdf,24/04/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,2168,"69,71","73,9","69,96",3498,197
NJ,28/Feb/24,50,"74,26",3713,2024-48.pdf,29/04/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"2178,66","70,05","74,26","70,3",3515,198
NJ,28/Feb/24,50,"72,99","3649,5",2024-52.pdf,5/03/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"2141,41","68,85","72,99","69,1",3455,"194,5"
NJ,28/Feb/24,50,"73,65","3682,5",2024-58.pdf,31/05/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"2160,97","69,48","73,65","69,73","3486,5",196
NJ,28/Feb/24,50,"74,85","3742,5",2024-74.pdf,29/07/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"2196,08","70,61","74,85","70,86",3543,"199,5"
NJ,28/Feb/24,50,"77,02",3851,2024-79.pdf,8/12/2024,50,0,12-11,Finalizado,TRUE,FALSE,TRUE,"2260,43","72,66","77,02","72,91","3645,5","205,5"
NJ,20/Mar/24,100,"75,85",7585,2024-42.pdf,17/04/2024,100,0,19-3,Finalizado,TRUE,FALSE,TRUE,"2222,94","71,47","75,76","71,72",7172,413
NJ,20/Mar/24,100,"75,85",7585,2024-43.pdf,17/04/2024,100,0,19-3,Finalizado,TRUE,FALSE,TRUE,"2222,94","71,47","75,76","71,72",7172,413
NJ,26/Apr/24,50,"77,02",3851,2024-79.pdf,8/12/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2260,43","72,68","77,05","72,93","3646,5","204,5"
NJ,26/Apr/24,50,"76,69","3834,5",2024-82.pdf,22/08/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,2250,"72,34","76,69","72,59","3629,5",205
NJ,26/Apr/24,50,"76,55","3827,5",2024-84.pdf,23/08/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2245,74","72,21","76,55","72,46",3623,"204,5"
NJ,26/Apr/24,50,"77,04",3852,2024-85.pdf,26/08/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2260,14","72,67","77,04","72,92",3646,206
NJ,26/Apr/24,50,"76,65","3832,5",2024-86.pdf,28/08/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2248,93","72,31","76,65","72,56",3628,"204,5"
NJ,26/Apr/24,50,"76,65","3832,5",2024-87.pdf,28/08/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2248,93","72,31","76,65","72,56",3628,"204,5"
NJ,27/ago/24,50,"82,9",4145,2024-107.pdf,15/10/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2432,1","78,2","82,9","78,45","3922,5","222,5"
NJ,27/ago/24,50,"84,19","4209,5",2024-110.pdf,17/10/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2470,14","79,42","84,19","79,67","3983,5",226
NJ,27/ago/24,50,"84,19","4209,5",2024-110.pdf,17/10/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2470,14","79,42","84,19","79,67","3983,5",226
NJ,27/ago/24,50,"84,19","4209,5",2024-111.pdf,17/10/2024,50,0,22-4,Finalizado,TRUE,FALSE,TRUE,"2470,14","79,42","84,19","79,67","3983,5",226
NJ,14/Oct/24,50,"84,19","4209,5",2024-111.pdf,17/10/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2470,14","79,42","84,19","79,67","3983,5",226
NJ,14/Oct/24,50,"85,84",4292,2024-115.pdf,11/04/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2518,7","80,98","85,84","81,23","4061,5","230,5"
NJ,14/Oct/24,50,"85,21","4260,5",2024-116.pdf,11/08/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2500,08","80,38","85,21","80,63","4031,5",229
NJ,14/Oct/24,50,"85,11","4255,5",2024-117.pdf,11/11/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2497,16","80,29","85,11","80,54",4027,"228,5"
NJ,14/Oct/24,50,"83,58",4179,2024-118.pdf,11/12/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2452,1","78,84","83,58","79,09","3954,5","224,5"
NJ,06/Nov/24,50,"85,41","4270,5",2024-127.pdf,12/09/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2505,74","80,57","85,41","80,82",4041,"229,5"
